City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
222,prince albert,53.2001,-105.7677,16.97,55,75,4.12,CA,1695926566
223,rumuruti,0.267,36.5389,17.32,70,45,5.05,KE,1695926567
224,ancud,-41.8697,-73.8203,9.83,62,96,3.14,CL,1695926567
225,papao,-17.75,-149.55,26.82,85,5,9.55,PF,1695926567
226,ma'rib,15.4591,45.3253,26.6,16,37,1.83,YE,1695926567
227,saldanha,-33.0117,17.9442,19.03,60,90,3.63,ZA,1695926567
228,nar'yan-mar,67.6713,53.087,1.5,80,47,5.23,RU,1695926567
229,axim,4.8699,-2.2405,25.49,90,14,3.42,GH,1695926567
230,tolanaro,-25.0319,46.9987,23.04,83,20,10.29,MG,1695926567
231,ladispoli,41.9537,12.0735,24.14,69,6,1.66,IT,1695926568
232,alkhan-churt,43.35,44.78,12.49,61,0,2.5,RU,1695926568
233,howrah,22.5892,88.3103,31.0,84,40,2.06,IN,1695926568
234,cozumel,20.5083,-86.9458,30.53,86,75,0.89,MX,1695926403
235,qamdo,31.1667,97.2333,3.8,66,28,0.86,CN,1695926568
236,preobrazheniye,42.9019,133.9064,14.21,67,1,3.54,RU,1695926568
237,dunedin,-45.8742,170.5036,7.67,52,48,0.45,NZ,1695926568
238,konarka,19.9,86.1167,28.22,81,67,3.32,IN,1695926568
239,marka,1.7159,44.7717,26.03,88,12,8.16,SO,1695926568
240,pariaman,-0.619,100.12,26.03,88,85,1.91,ID,1695926569
241,zeya,53.75,127.2667,8.73,78,100,3.17,RU,1695926569
242,choyr,46.3611,108.3611,4.4,79,68,7.97,MN,1695926569
243,khandyga,62.6667,135.6,3.56,81,99,0.88,RU,1695926569
244,al qadarif,14.0349,35.3834,24.09,70,100,3.78,SD,1695926569
245,lompoc,34.6391,-120.4579,23.12,80,75,6.17,US,1695926362
246,bamboo flat,11.7,92.7167,25.05,94,100,3.6,IN,1695926569
247,bubaque,11.2833,-15.8333,28.05,77,100,4.19,GW,1695926569
248,nyurba,63.2842,118.3319,-0.47,75,16,2.05,RU,1695926569
249,khorixas,-20.3667,14.9667,21.22,43,0,3.8,NA,1695926570
250,tura,25.5198,90.2201,24.94,92,91,1.69,IN,1695926570
251,mirnyy,62.5353,113.9611,4.02,86,100,1.79,RU,1695926570
252,praia da vitoria,38.7333,-27.0667,20.98,100,75,5.07,PT,1695926570
253,atafu village,-8.5421,-172.5159,28.32,78,80,7.56,TK,1695926570
254,mammoth lakes,37.6485,-118.9721,19.63,21,0,3.09,US,1695926570
255,labytnangi,66.6572,66.4183,1.01,84,100,5.93,RU,1695926570
256,arar,30.9753,41.0381,33.01,9,0,3.09,SA,1695926570
257,touros,-5.1989,-35.4608,27.04,66,74,5.53,BR,1695926570
258,guingamp,48.4167,-3.3333,17.96,89,76,8.66,FR,1695926570
259,idukki,9.85,76.9667,20.55,98,95,0.71,IN,1695926571
260,guilin,25.2819,110.2864,24.06,93,24,0.94,CN,1695926571
261,kapa'a,22.0752,-159.319,26.99,74,75,4.63,US,1695926571
262,les avirons,-21.2418,55.3394,20.05,68,0,6.17,RE,1695926571
263,tongchuanshi,35.0806,109.0897,14.42,87,100,0.37,CN,1695926571
264,san martin,-33.081,-68.4681,21.3,21,0,8.62,AR,1695926571
265,colares,38.7992,-9.4469,26.92,75,20,8.23,PT,1695926571
266,el granada,37.5027,-122.4694,25.89,68,0,6.17,US,1695926571
267,pisco,-13.7,-76.2167,22.03,64,0,4.63,PE,1695926571
268,al jawf,29.5,38.75,28.35,20,4,3.8,SA,1695926572
269,sherpur,25.0188,90.0175,27.75,88,75,2.69,BD,1695926572
270,verkhniy ufaley,56.0567,60.2306,9.87,79,100,2.45,RU,1695926572
271,oranjemund,-28.55,16.4333,16.35,68,100,1.72,NA,1695926572
272,concepcion,-36.827,-73.0498,15.89,55,20,9.26,CL,1695926523
273,carutapera,-1.195,-46.02,29.85,59,7,4.69,BR,1695926572
274,piti village,13.4626,144.6933,26.49,93,75,0.0,GU,1695926572
275,islamkot,24.6997,70.177,31.11,57,0,4.1,PK,1695926572
276,kill devil hills,36.0307,-75.676,23.32,87,100,7.2,US,1695926572
277,rio grande,-32.035,-52.0986,22.06,69,0,7.76,BR,1695926355
278,al qubbah,32.7616,22.2424,19.53,76,0,5.47,LY,1695926573
279,mount gambier,-37.8333,140.7667,5.95,57,5,2.63,AU,1695926573
280,stanley,54.868,-1.6985,13.36,83,20,3.09,GB,1695926443
281,baloda bazar,21.6667,82.1667,25.38,89,100,0.92,IN,1695926573
282,yuanping,38.7153,112.7575,14.08,52,100,1.01,CN,1695926573
283,castillos,-34.1667,-53.8333,16.81,67,40,5.03,UY,1695926573
284,codrington,-38.2667,141.9667,6.19,57,38,4.19,AU,1695926573
285,lerwick,60.1545,-1.1494,13.0,87,100,6.56,GB,1695926573
286,port alfred,-33.5906,26.891,16.77,91,1,0.45,ZA,1695926573
287,petropavlovsk-kamchatsky,53.0452,158.6483,0.33,93,0,3.0,RU,1695926574
288,polyarnyy,69.1989,33.4478,9.09,89,100,3.36,RU,1695926574
289,kayes,14.0,-11.0,29.49,64,22,2.42,ML,1695926574
290,bazas,44.432,-0.2133,22.01,61,4,2.14,FR,1695926574
291,valenca do piaui,-6.4075,-41.7456,38.76,16,100,3.01,BR,1695926574
292,manokwari,-0.8667,134.0833,25.41,85,100,1.47,ID,1695926574
293,ust-nera,64.5667,143.2,2.44,98,99,3.47,RU,1695926574
294,amga,60.8953,131.9608,2.91,82,100,1.22,RU,1695926574
295,shirpur,21.35,74.8833,27.24,78,26,1.16,IN,1695926575
296,laguna,38.421,-121.4238,26.86,52,0,3.6,US,1695926575
297,maitum,6.0392,124.4986,25.56,80,100,1.59,PH,1695926575
298,chos malal,-37.3781,-70.2709,14.64,18,0,5.68,AR,1695926575
299,holualoa,19.6228,-155.9522,25.99,73,0,0.45,US,1695926575
300,charters towers,-20.1,146.2667,14.98,93,2,3.35,AU,1695926575
301,bantay,17.5847,120.3892,26.19,85,45,1.97,PH,1695926576
302,fortuna,40.5982,-124.1573,18.29,73,0,4.63,US,1695926576
303,santa ana de yacuma,-13.75,-65.4333,30.97,42,75,4.12,BO,1695926576
304,am timan,11.0297,20.2827,22.49,93,99,1.73,TD,1695926577
305,sao joao da barra,-21.6403,-41.0511,24.05,79,100,12.64,BR,1695926527
306,nogliki,51.8333,143.1667,10.9,99,100,4.73,RU,1695926462
307,muslyumovo,55.3033,53.1947,12.69,57,100,3.78,RU,1695926577
308,itoman,26.1247,127.6694,27.43,96,75,4.63,JP,1695926577
309,namibe,-15.1961,12.1522,20.22,86,98,3.79,AO,1695926577
310,fengcheng,40.4536,124.0717,12.46,61,100,1.26,CN,1695926577
311,chota,-6.55,-78.65,23.64,43,32,4.41,PE,1695926577
312,salinopolis,-0.6136,-47.3561,29.21,64,9,5.81,BR,1695926577
313,queenstown,-31.8976,26.8753,15.62,54,0,1.42,ZA,1695926578
314,bishkek,42.87,74.59,13.11,43,100,2.19,KG,1695926578
315,berezovyy,51.6667,135.7,5.95,92,58,1.65,RU,1695926578
316,marrakesh,31.6315,-8.0083,33.04,40,0,3.6,MA,1695926510
317,champerico,14.3,-91.9167,34.3,70,63,3.33,GT,1695926578
318,kievka,50.2619,71.5514,10.95,61,100,2.99,KZ,1695926578
319,fernie,49.5,-115.0687,10.38,92,100,1.71,CA,1695926578
320,sotkamo,64.1333,28.4167,7.01,95,100,1.5,FI,1695926578
321,bikenibeu village,1.3673,173.1241,25.98,94,100,5.66,KI,1695926578
322,cockburn town,21.4612,-71.1419,29.19,74,2,5.67,TC,1695926579
323,pangody,65.85,74.4859,1.8,80,100,6.48,RU,1695926579
324,zaozersk,69.4005,32.4476,8.84,92,100,1.53,RU,1695926579
325,merizo village,13.2658,144.6691,26.31,96,97,6.86,GU,1695926579
326,east ballina,-28.8667,153.5833,13.78,73,81,0.36,AU,1695926579
327,nova sintra,14.8667,-24.7167,24.39,80,56,3.91,CV,1695926579
328,tikapur,28.5,81.1333,25.18,77,2,1.6,NP,1695926579
329,chapaev,50.2,51.1667,13.98,47,0,2.4,KZ,1695926580
330,timbuktu,16.7735,-3.0074,38.47,7,2,4.13,ML,1695926580
331,iskateley,67.6803,53.1512,1.42,80,48,5.15,RU,1695926580
332,havre,49.5833,0.3333,18.52,94,100,4.63,FR,1695926580
333,nabire,-3.3667,135.4833,23.81,95,100,2.2,ID,1695926580
334,barra,-11.0894,-43.1417,34.14,32,82,2.67,BR,1695926580
335,thinadhoo,0.5333,72.9333,27.94,75,14,5.63,MV,1695926580
336,nanga eboko,4.6833,12.3667,21.22,98,100,0.73,CM,1695926580
337,aleksandrov gay,50.147,48.5704,15.28,44,0,2.2,RU,1695926580
338,dzilam gonzalez,21.2833,-88.9333,32.48,53,46,2.99,MX,1695926581
339,fiambala,-27.6871,-67.6149,25.8,16,0,8.11,AR,1695926581
340,dalnerechensk,45.9339,133.7225,9.98,90,8,2.82,RU,1695926581
341,tashtyp,52.7939,89.8983,5.73,79,100,1.55,RU,1695926581
342,ketchikan,55.3422,-131.6461,11.26,76,0,5.66,US,1695926581
343,saint-francois,46.4154,3.9054,20.69,78,0,1.54,FR,1695926581
344,puerto deseado,-47.7503,-65.8938,7.35,56,0,6.99,AR,1695926581
345,staritsa,56.5075,34.9354,13.45,83,15,2.84,RU,1695926582
346,broken hill,-31.95,141.4333,13.89,42,0,2.94,AU,1695926582
347,berbera,10.4396,45.0143,31.5,71,5,2.73,SO,1695926582
348,infantes,38.7367,-3.0122,25.56,28,34,3.6,ES,1695926582
349,jinxiang,27.4327,120.6062,25.05,89,39,2.93,CN,1695926582
350,salalah,17.0151,54.0924,28.05,74,0,2.57,OM,1695926582
351,yelizovo,53.1873,158.3805,1.08,93,0,3.0,RU,1695926582
352,felege neway,6.3,36.8833,18.38,89,78,1.28,ET,1695926583
353,kavaratti,10.5669,72.642,27.73,81,100,6.73,IN,1695926583
354,xilin hot,43.9667,116.0333,10.71,44,0,6.83,CN,1695926583
355,palapag,12.5458,125.1147,25.6,93,44,2.22,PH,1695926583
356,alaghsas,17.0187,8.0168,35.94,16,0,2.06,NE,1695926583
357,sakaiminato,35.55,133.2333,19.99,100,40,2.57,JP,1695926583
358,palikir - national government center,6.9248,158.1611,24.41,100,20,1.54,FM,1695926583
359,la maddalena,41.2142,9.4083,24.03,80,61,5.5,IT,1695926583
360,randallstown,39.3673,-76.7953,21.16,72,100,1.34,US,1695926584
361,paradip garh,20.3167,86.6167,27.9,81,100,3.17,IN,1695926584
362,alofi,-19.0595,-169.9187,22.94,94,23,1.54,NU,1695926584
363,solleftea,63.1667,17.2667,11.92,94,100,2.98,SE,1695926584
364,kondoa,-4.9,35.7833,20.95,55,10,5.26,TZ,1695926584
365,xinyuan,37.3,99.0,1.85,51,0,1.26,CN,1695926585
